date,PPIITM,PPICRM,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAS,CPIULFSL,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,IPMAN,MCUMFN,TCU,M0684AUSM343SNBR,M0504AUSM343SNBR,GDPC1,AMBSL,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,FEDFUNDS,CP3M,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXMMTH,EXSZUS,EXJPUS,EXUSUK,EXCAUS,PPIFGS,PPIFCG,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,CES0600000008,CES2000000008,CES3000000008,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,DPCERA3M086SBEA,CMRMTSPL,RETAIL,ACOGNO,ANDENO,AMDMUO,M1SL,M2SL,M3SL,M2REAL,RPI,W875RX1,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,PAYEMS,USGOOD,CES1021000001,USCONS
1922-07-01,,,,,,,,,,,,,,,,,,,,,,0.018032810862604443,,,,,,,,,,,,,,,,,-0.08000000000000007,-0.08000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.009574292069574719,,,,,,,,,,,,,,,
1922-08-01,,,,,,,,,,,,,,,,,,,,,,0.015808263473916506,,,,,,,,,,,,,,,,,-0.040000000000000036,-0.040000000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021401827249411864,,,,,,,,,,-0.03884038718697558,,,,,,,,,,,,,,,
1922-09-01,,,,,,,,,,,,,,,,,,,,,,0.021978068871209233,,,,,,,,,,,,,,,,,-0.03000000000000025,-0.09999999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052650434977508986,,,,,,,,,,0.02926609511740086,,,,,,,,,,,,,,,
1922-10-01,,,,,,,,,,,,,,,,,,,,,,0.021380813534656484,,,,,,,,,,,,,,,,,0.040000000000000036,0.03000000000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05488503582448834,,,,,,,,,,0.042353287557876484,,,,,,,,,,,,,,,
1922-11-01,,,,,,,,,,,,,,,,,,,,,,0.008716035546421308,,,,,,,,,,,,,,,,,0.1200000000000001,0.20000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042747667341955786,,,,,,,,,,0.03620393089561835,,,,,,,,,,,,,,,
1922-12-01,,,,,,,,,,,,,,,,,,,,,,0.01625841047161969,,,,,,,,,,,,,,,,,-0.009999999999999787,0.03999999999999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027538293515249723,,,,,,,,,,0.030644021064542892,,,,,,,,,,,,,,,
1923-01-01,,,,,,,,,,,,,,,,,,,,,,0.017158194185152853,,,,,,,,,,,,,,,,,-0.040000000000000036,-0.03999999999999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02289559137798869,,,,,,,,,,-0.01740062631797379,,,,,,,,,,,,,,,
1923-02-01,,,,,,,,,,,,,,,,,,,,,,0.011425228973154455,,,,,,,,,,,,,,,,,0.03000000000000025,-0.010000000000000675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013800162578573527,,,,,,,,,,0.008738160406045248,,,,,,,,,,,,,,,
1923-03-01,,,,,,,,,,,,,,,,,,,,,,-0.0068555177648335075,,,,,,,,,,,,,,,,,0.05999999999999961,0.1200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03146206711036981,,,,,,,,,,0.0425645802133392,,,,,,,,,,,,,,,
1923-04-01,,,,,,,,,,,,,,,,,,,,,,-0.0013892424332651032,,,,,,,,,,,,,,,,,0.08999999999999986,0.08000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021877296773507027,,,,,,,,,,0.012420707092296146,,,,,,,,,,,,,,,
1923-05-01,,,,,,,,,,,,,,,,,,,,,,0.003141733974081351,,,,,,,,,,,,,,,,,-0.05999999999999961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012909803925007957,,,,,,,,,,0.020369642057703086,,,,,,,,,,,,,,,
1923-06-01,,,,,,,,,,,,,,,,,,,,,,-0.0017913037831527312,,,,,,,,,,,,,,,,,-0.009999999999999787,0.040000000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008587991358035119,,,,,,,,,,-0.012168731072614625,,,,,,,,,,,,,,,
1923-07-01,,,,,,,,,,,,,,,,,,,,,,0.0017006200694700269,,,,,,,,,,,,,,,,,-0.010000000000000675,0.1299999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008662384300737624,,,,,,,,,,-0.016469633409939455,,,,,,,,,,,,,,,
1923-08-01,,,,,,,,,,,,,,,,,,,,,,-8.547734511021865e-05,,,,,,,,,,,,,,,,,-0.05999999999999961,0.040000000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01753672503974224,,,,,,,,,,-0.025207823931866713,,,,,,,,,,,,,,,
1923-09-01,,,,,,,,,,,,,,,,,,,,,,-0.006546347139620101,,,,,,,,,,,,,,,,,0.040000000000000036,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022366638310954645,,,,,,,,,,-0.004258203463520349,,,,,,,,,,,,,,,
1923-10-01,,,,,,,,,,,,,,,,,,,,,,-0.018334862728836443,,,,,,,,,,,,,,,,,-0.009999999999999787,0.08000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004537373582221171,,,,,,,,,,-0.017250537485397288,,,,,,,,,,,,,,,
1923-11-01,,,,,,,,,,,,,,,,,,,,,,0.009736985202426718,,,,,,,,,,,,,,,,,-0.020000000000000462,-0.05999999999999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,
