,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/hidden,config/lr,logdir
135,0.0288028120994567,0.3353438377380371,False,930,6e25a_00135,2023-05-13_15-30-16,1683984616,335.60407400131226,4048,Julians-MBP,127.0.0.1,335.60407400131226,930,ReLU,4,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00135_135_activation=ReLU,hidden=4,lr=0.0500_2023-05-13_15-24-40"
130,0.0290745813399553,0.2936699390411377,False,930,6e25a_00130,2023-05-13_15-24-40,1683984280,305.427129983902,4048,Julians-MBP,127.0.0.1,305.427129983902,930,Sigmoid,3,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00130_130_activation=Sigmoid,hidden=3,lr=0.0500_2023-05-13_15-19-35"
113,0.0292437355965375,0.3681149482727051,False,930,6e25a_00113,2023-05-13_15-04-10,1683983050,378.23300099372864,4050,Julians-MBP,127.0.0.1,378.23300099372864,930,Tanh,5,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00113_113_activation=Tanh,hidden=5,lr=0.0100_2023-05-13_14-57-52"
100,0.0304408594965934,0.1850528717041015,False,930,6e25a_00100,2023-05-13_14-46-38,1683981998,198.31898188591003,4048,Julians-MBP,127.0.0.1,198.31898188591003,930,Identity,2,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00100_100_activation=Identity,hidden=2,lr=0.0100_2023-05-13_14-43-20"
125,0.032484982162714,0.2579991817474365,False,930,6e25a_00125,2023-05-13_15-16-29,1683983789,289.71524596214294,4050,Julians-MBP,127.0.0.1,289.71524596214294,930,Tanh,2,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00125_125_activation=Tanh,hidden=2,lr=0.0500_2023-05-13_15-11-39"
121,0.0353457890450954,0.3471009731292724,False,930,6e25a_00121,2023-05-13_15-10-55,1683983455,193.78213691711423,4048,Julians-MBP,127.0.0.1,193.78213691711423,930,Tanh,1,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00121_121_activation=Tanh,hidden=1,lr=0.0500_2023-05-13_15-07-41"
88,0.0403871648013591,0.255242109298706,False,930,6e25a_00088,2023-05-13_14-28-40,1683980920,270.22365713119507,4048,Julians-MBP,127.0.0.1,270.22365713119507,930,Identity,5,0.005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00088_88_activation=Identity,hidden=5,lr=0.0050_2023-05-13_14-24-10"
133,0.0431968495249748,0.4073231220245361,False,930,6e25a_00133,2023-05-13_15-27-49,1683984469,363.1365649700165,4050,Julians-MBP,127.0.0.1,363.1365649700165,930,Tanh,4,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00133_133_activation=Tanh,hidden=4,lr=0.0500_2023-05-13_15-21-46"
129,0.0437312610447406,0.2959902286529541,False,930,6e25a_00129,2023-05-13_15-21-45,1683984105,316.66992115974426,4050,Julians-MBP,127.0.0.1,316.66992115974426,930,Tanh,3,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00129_129_activation=Tanh,hidden=3,lr=0.0500_2023-05-13_15-16-29"
141,0.0480198562145233,0.3497540950775146,False,930,6e25a_00141,2023-05-13_15-41-45,1683985305,398.0579929351807,4050,Julians-MBP,127.0.0.1,398.0579929351807,930,Tanh,6,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00141_141_activation=Tanh,hidden=6,lr=0.0500_2023-05-13_15-35-07"
137,0.0481038577854633,0.4991281032562256,False,930,6e25a_00137,2023-05-13_15-35-07,1683984907,437.7249662876129,4050,Julians-MBP,127.0.0.1,437.7249662876129,930,Tanh,5,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00137_137_activation=Tanh,hidden=5,lr=0.0500_2023-05-13_15-27-49"
84,0.0512848906219005,0.2290380001068115,False,930,6e25a_00084,2023-05-13_14-24-07,1683980647,241.7439558506012,4049,Julians-MBP,127.0.0.1,241.7439558506012,930,Identity,4,0.005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00084_84_activation=Identity,hidden=4,lr=0.0050_2023-05-13_14-20-06"
120,0.1495090425014495,0.1576321125030517,False,930,6e25a_00120,2023-05-13_15-07-41,1683983261,158.6562750339508,4048,Julians-MBP,127.0.0.1,158.6562750339508,930,Identity,1,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00120_120_activation=Identity,hidden=1,lr=0.0500_2023-05-13_15-05-02"
132,0.3010945320129394,0.2614789009094238,False,930,6e25a_00132,2023-05-13_15-25-09,1683984309,274.43753695487976,4047,Julians-MBP,127.0.0.1,274.43753695487976,930,Identity,4,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00132_132_activation=Identity,hidden=4,lr=0.0500_2023-05-13_15-20-35"
104,81.4115982055664,0.2044479846954345,False,930,6e25a_00104,2023-05-13_14-50-22,1683982222,223.37375903129575,4048,Julians-MBP,127.0.0.1,223.37375903129575,930,Identity,3,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00104_104_activation=Identity,hidden=3,lr=0.0100_2023-05-13_14-46-38"
92,14669.1396484375,0.3202996253967285,False,930,6e25a_00092,2023-05-13_14-34-16,1683981256,301.72687578201294,4047,Julians-MBP,127.0.0.1,301.72687578201294,930,Identity,6,0.005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00092_92_activation=Identity,hidden=6,lr=0.0050_2023-05-13_14-29-15"
108,127519992.0,0.3473320007324219,False,930,6e25a_00108,2023-05-13_14-54-26,1683982466,243.66018986701965,4048,Julians-MBP,127.0.0.1,243.66018986701965,930,Identity,4,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00108_108_activation=Identity,hidden=4,lr=0.0100_2023-05-13_14-50-22"
124,1241784832.0,0.1903769969940185,False,930,6e25a_00124,2023-05-13_15-15-37,1683983737,248.5930769443512,4049,Julians-MBP,127.0.0.1,248.5930769443512,930,Identity,2,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00124_124_activation=Identity,hidden=2,lr=0.0500_2023-05-13_15-11-28"
112,146836073480192.0,0.2841532230377197,False,930,6e25a_00112,2023-05-13_14-59-00,1683982740,273.213907957077,4047,Julians-MBP,127.0.0.1,273.213907957077,930,Identity,5,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00112_112_activation=Identity,hidden=5,lr=0.0100_2023-05-13_14-54-27"
116,1680754920652800.0,0.3136258125305176,False,930,6e25a_00116,2023-05-13_15-04-31,1683983071,298.5607869625092,4049,Julians-MBP,127.0.0.1,298.5607869625092,930,Identity,6,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00116_116_activation=Identity,hidden=6,lr=0.0100_2023-05-13_14-59-32"
128,2760411988361216.0,0.2923920154571533,False,930,6e25a_00128,2023-05-13_15-19-50,1683983990,253.40776801109317,4049,Julians-MBP,127.0.0.1,253.40776801109317,930,Identity,3,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00128_128_activation=Identity,hidden=3,lr=0.0500_2023-05-13_15-15-37"
140,4.72686963678249e+16,0.367185115814209,False,930,6e25a_00140,2023-05-13_15-36-26,1683984986,345.70784616470337,4049,Julians-MBP,127.0.0.1,345.70784616470337,930,Identity,6,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00140_140_activation=Identity,hidden=6,lr=0.0500_2023-05-13_15-30-40"
136,5.756985759970099e+16,0.299638032913208,False,930,6e25a_00136,2023-05-13_15-30-24,1683984624,314.7032310962677,4047,Julians-MBP,127.0.0.1,314.7032310962677,930,Identity,5,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00136_136_activation=Identity,hidden=5,lr=0.0500_2023-05-13_15-25-09"
